Name,Label,Mass
M1,M1:96.98688,96.98688
M2,M2:98.31788,98.31788
M3,M3:98.31816,98.31816
M4,M4:99.00632,99.00632
M5,M5:101.02439,101.02439
M6,M6:102.01963,102.01963
M7,M7:105.00005,105.00005
M8,M8:111.01998,111.01998
M9,M9:113.02234,113.02234
M10,M10:113.98893,113.98893
M11,M11:115.0208,115.0208
M12,M12:116.97165,116.97165
M13,M13:117.97582,117.97582
M14,M14:120.03417,120.03417
M15,M15:120.03738,120.03738
M16,M16:122.0095,122.0095
M17,M17:123.03604,123.03604
M18,M18:124.01708,124.01708
M19,M19:124.99141,124.99141
M20,M20:125.04317,125.04317
M21,M21:126.90656,126.90656
M22,M22:126.93592,126.93592
M23,M23:127.01716,127.01716
M24,M24:128.00507,128.00507
M25,M25:128.0401,128.0401
M26,M26:128.05467,128.05467
M27,M27:128.07172,128.07172
M28,M28:128.93297,128.93297
M29,M29:128.99597,128.99597
M30,M30:129.00553,129.00553
M31,M31:129.01381,129.01381
M32,M32:130.05909,130.05909
M33,M33:130.08852,130.08852
M34,M34:130.94466,130.94466
M35,M35:131.07184,131.07184
M36,M36:131.08308,131.08308
M37,M37:132.03072,132.03072
M38,M38:132.06664,132.06664
M39,M39:132.96742,132.96742
M40,M40:134.94455,134.94455
M41,M41:135.06631,135.06631
M42,M42:135.0668,135.0668
M43,M43:136.01713,136.01713
M44,M44:136.05166,136.05166
M45,M45:137.02492,137.02492
M46,M46:138.0278,138.0278
M47,M47:139.07649,139.07649
M48,M48:143.02121,143.02121
M49,M49:143.07141,143.07141
M50,M50:145.08706,145.08706
M51,M51:146.10165,146.10165
M52,M52:150.00197,150.00197
M53,M53:152.03538,152.03538
M54,M54:159.01487,159.01487
M55,M55:164.09278,164.09278
M56,M56:165.97902,165.97902
M57,M57:168.04317,168.04317
M58,M58:169.04818,169.04818
M59,M59:170.02384,170.02384
M60,M60:172.98573,172.98573
M61,M61:172.99137,172.99137
M62,M62:174.04332,174.04332
M63,M63:175.00306,175.00306
M64,M64:185.02776,185.02776
M65,M65:188.9816,188.9816
M66,M66:189.01691,189.01691
M67,M67:190.05431,190.05431
M68,M68:190.97865,190.97865
M69,M69:192.10486,192.10486
M70,M70:193.09109,193.09109
M71,M71:194.95806,194.95806
M72,M72:195.99202,195.99202
M73,M73:196.01706,196.01706
M74,M74:196.02842,196.02842
M75,M75:196.14241,196.14241
M76,M76:196.99476,196.99476
M77,M77:197.00434,197.00434
M78,M78:197.09404,197.09404
M79,M79:197.96317,197.96317
M80,M80:198.05977,198.05977
M81,M81:198.07175,198.07175
M82,M82:198.15805,198.15805
M83,M83:199.05564,199.05564
M84,M84:199.05879,199.05879
M85,M85:199.07002,199.07002
M86,M86:199.07814,199.07814
M87,M87:199.10642,199.10642
M88,M88:199.11599,199.11599
M89,M89:199.14519,199.14519
M90,M90:201.05171,201.05171
M91,M91:202.03327,202.03327
M92,M92:202.04855,202.04855
M93,M93:202.12782,202.12782
M94,M94:204.07967,204.07967
M95,M95:205.03292,205.03292
M96,M96:205.06523,205.06523
M97,M97:205.09272,205.09272
M98,M98:206.11866,206.11866
M99,M99:207.06637,207.06637
M100,M100:208.073,208.073
M101,M101:208.08578,208.08578
M102,M102:208.97226,208.97226
M103,M103:209.07651,209.07651
M104,M104:210.01732,210.01732
M105,M105:210.05387,210.05387
M106,M106:210.07004,210.07004
M107,M107:210.08449,210.08449
M108,M108:210.10803,210.10803
M109,M109:210.98365,210.98365
M110,M110:211.02001,211.02001
M111,M111:211.0466,211.0466
M112,M112:211.08956,211.08956
M113,M113:211.09212,211.09212
M114,M114:211.09375,211.09375
M115,M115:211.1452,211.1452
M116,M116:212.02084,212.02084
M117,M117:212.0412,212.0412
M118,M118:212.08802,212.08802
M119,M119:212.0934,212.0934
M120,M120:213.00623,213.00623
M121,M121:213.98645,213.98645
M122,M122:214.06971,214.06971
M123,M123:214.95129,214.95129
M124,M124:214.99232,214.99232
M125,M125:215.0363,215.0363
M126,M126:215.04113,215.04113
M127,M127:215.95285,215.95285
M128,M128:215.99397,215.99397
M129,M129:216.97354,216.97354
M130,M130:216.99451,216.99451
M131,M131:217.02045,217.02045
M132,M132:218.12275,218.12275
M133,M133:219.02752,219.02752
M134,M134:219.06967,219.06967
M135,M135:219.08089,219.08089
M136,M136:219.97753,219.97753
M137,M137:220.11906,220.11906
M138,M138:220.13433,220.13433
M139,M139:221.0667,221.0667
M140,M140:222.08867,222.08867
M141,M141:222.13472,222.13472
M142,M142:222.14999,222.14999
M143,M143:223.01753,223.01753
M144,M144:223.0219,223.0219
M145,M145:223.02242,223.02242
M146,M146:223.08123,223.08123
M147,M147:223.0855,223.0855
M148,M148:224.02338,224.02338
M149,M149:224.02722,224.02722
M150,M150:224.16564,224.16564
M151,M151:229.05404,229.05404
M152,M152:234.08869,234.08869
M153,M153:235.09843,235.09843
M154,M154:236.10664,236.10664
M155,M155:236.10794,236.10794
M156,M156:237.11111,237.11111
M157,M157:238.12205,238.12205
M158,M158:240.99419,240.99419
M159,M159:244.01402,244.01402
M160,M160:247.01364,247.01364
M161,M161:249.10803,249.10803
M162,M162:249.11119,249.11119
M163,M163:250.21772,250.21772
M164,M164:252.12433,252.12433
M165,M165:252.23337,252.23337
M166,M166:253.06783,253.06783
M167,M167:258.05647,258.05647
M168,M168:261.12006,261.12006
M169,M169:263.12872,263.12872
M170,M170:266.0896,266.0896
M171,M171:266.11496,266.11496
M172,M172:277.148,277.148
M173,M173:295.12208,295.12208
M174,M174:299.12247,299.12247
M175,M175:300.10648,300.10648
M176,M176:300.13564,300.13564
M177,M177:300.19291,300.19291
M178,M178:301.02663,301.02663
M179,M179:301.11154,301.11154
M180,M180:301.15177,301.15177
M181,M181:302.06979,302.06979
M182,M182:302.09934,302.09934
M183,M183:302.17218,302.17218
M184,M184:303.05116,303.05116
M185,M185:303.06334,303.06334
